altura_vert,comprimento_total,numero_de_folhas,MAPE Altura Vert.,MAPE Compr Total,MAPE Diametro,MAPE Area,MAPE Nro Folhas,MAPE total,imagens
1.021,0.944,0.955,1.6977975677695885,7.485263811846588,18.477160094807157,4.449234077180943,10.258241758241757,8.473539461969207,D:/Visao/Projeto1/Guido/analise_parametros\altura_1.021_compr_0.944_folhas_0.955
1.012,0.944,0.955,1.715246389850397,7.485263811846588,18.477160094807157,4.449234077180943,10.258241758241757,8.477029226385369,D:/Visao/Projeto1/Guido/analise_parametros\altura_1.012_compr_0.944_folhas_0.955
1.03,0.944,0.955,1.856175102338551,7.485263811846588,18.477160094807157,4.449234077180943,10.258241758241757,8.505214968883,D:/Visao/Projeto1/Guido/analise_parametros\altura_1.030_compr_0.944_folhas_0.955
1.021,0.96,0.955,1.6977975677695885,7.8203078167777935,18.477160094807157,4.449234077180943,10.258241758241757,8.540548262955449,D:/Visao/Projeto1/Guido/analise_parametros\altura_1.021_compr_0.960_folhas_0.955
1.021,0.92,0.955,1.6977975677695885,7.832388167339108,18.477160094807157,4.449234077180943,10.258241758241757,8.542964333067712,D:/Visao/Projeto1/Guido/analise_parametros\altura_1.021_compr_0.920_folhas_0.955
1.012,0.96,0.955,1.715246389850397,7.8203078167777935,18.477160094807157,4.449234077180943,10.258241758241757,8.54403802737161,D:/Visao/Projeto1/Guido/analise_parametros\altura_1.012_compr_0.960_folhas_0.955
1.012,0.92,0.955,1.715246389850397,7.832388167339108,18.477160094807157,4.449234077180943,10.258241758241757,8.546454097483872,D:/Visao/Projeto1/Guido/analise_parametros\altura_1.012_compr_0.920_folhas_0.955
1.03,0.96,0.955,1.856175102338551,7.8203078167777935,18.477160094807157,4.449234077180943,10.258241758241757,8.572223769869241,D:/Visao/Projeto1/Guido/analise_parametros\altura_1.030_compr_0.960_folhas_0.955
1.03,0.92,0.955,1.856175102338551,7.832388167339108,18.477160094807157,4.449234077180943,10.258241758241757,8.574639839981504,D:/Visao/Projeto1/Guido/analise_parametros\altura_1.030_compr_0.920_folhas_0.955
1.0,0.944,0.955,2.2629106293989247,7.485263811846588,18.477160094807157,4.449234077180943,10.258241758241757,8.586562074295076,D:/Visao/Projeto1/Guido/analise_parametros\altura_1.000_compr_0.944_folhas_0.955
