nome,MAPE,pred,corte_altura,h_min,h_max,s_min,v_min,close_kernel,open_kernel,open_iter,n_faixas,eixo_janela,min_comp_frac_h,caule_vertical_max,caule_dist_frac_w,caule_dx_frac_w,caule_dy_dx,caule_dy_frac_h,grupo_ang_max,grupo_dist_base_h,grupo_dist_n,grupo_dist_cap_h,grupo_alinh_frac_h,grupo_dy_frac_h,dup_dist_frac_h,stem_cand_w_frac,stem_cand_dens,stem_cand_x_min,stem_cand_x_max,stem_narrow_w_frac,stem_narrow_dens,stem_narrow_center_frac,stem_frag_w_frac,stem_frag_h_frac,stem_frag_center_frac
caule_dx_menor,12.075091575091577,"[13, 12, 4, 14, 11, 15, 9, 19, 18, 4]",0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.01,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03
grupo_dup_maior,12.677655677655677,"[12, 10, 4, 14, 11, 16, 9, 18, 18, 4]",0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.06,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03
caule_menor_ambos,13.741758241758243,"[15, 12, 4, 14, 11, 15, 9, 19, 18, 4]",0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.008,0.01,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03
filtro_caule_menos_agressivo,14.086746586746587,"[13, 11, 4, 16, 12, 17, 9, 19, 18, 4]",0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.02,1.15,0.015,0.01,0.04,0.015
caule_dist_menor,16.716117216117215,"[15, 8, 4, 14, 11, 16, 9, 18, 18, 4]",0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.008,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03
caule_e_filtro_menos,17.254023754023756,"[15, 12, 4, 16, 12, 16, 11, 19, 19, 4]",0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.008,0.01,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.02,1.15,0.015,0.01,0.04,0.015
grupo_alinh_maior_dup,19.918303918303916,"[10, 9, 4, 9, 9, 13, 8, 14, 17, 3]",0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.035,0.12,0.06,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03
seg_restr_caule_menos,20.64291264291264,"[14, 12, 4, 16, 12, 19, 13, 19, 19, 4]",0.64,20,96,42,38,7,3,1,26,120,0.004,25.0,0.008,0.01,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.02,1.15,0.015,0.01,0.04,0.015
