Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1094,1362,20,177997,12
2,785,635,14,44197,11
3,369,322,16,56832,4
4,1068,986,18,76228,13
5,950,856,16,89875,11
6,1337,1154,18,130555,15
7,869,716,20,110317,9
8,1038,981,16,129073,17
9,1510,1249,20,89486,17
10,265,73,16,28856,4
