Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1107,1419,20,177997,14
2,794,661,14,44197,12
3,373,335,16,56832,4
4,1081,1027,18,76228,15
5,961,892,16,89875,12
6,1353,1202,18,130555,17
7,879,746,20,110317,9
8,1050,1022,16,129073,19
9,1528,1301,20,89486,19
10,268,76,16,28856,4
