Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1127,1305,20,177997,12
2,809,608,14,44197,11
3,380,308,16,56832,4
4,1100,945,18,76228,13
5,978,821,16,89875,11
6,1377,1106,18,130555,15
7,895,686,20,110317,9
8,1069,940,16,129073,17
9,1555,1197,20,89486,17
10,273,70,16,28856,4
