Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1117,1305,20,177997,12
2,801,608,14,44197,10
3,377,308,16,56832,4
4,1090,945,18,76228,13
5,970,821,16,89875,10
6,1365,1106,18,130555,14
7,887,686,20,110317,8
8,1060,940,16,129073,16
9,1542,1197,20,89486,16
10,271,70,16,28856,4
