Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1127,1362,20,177997,12
2,809,635,14,44197,10
3,380,322,16,56832,4
4,1100,986,18,76228,13
5,978,856,16,89875,10
6,1377,1154,18,130555,14
7,895,716,20,110317,8
8,1069,981,16,129073,16
9,1555,1249,20,89486,16
10,273,73,16,28856,4
