Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1127,1419,20,177997,14
2,809,661,14,44197,12
3,380,335,16,56832,4
4,1100,1027,18,76228,15
5,978,892,16,89875,12
6,1377,1202,18,130555,17
7,895,746,20,110317,9
8,1069,1022,16,129073,19
9,1555,1301,20,89486,19
10,273,76,16,28856,4
