Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1094,1362,20,177997,14
2,785,635,14,44197,12
3,369,322,16,56832,4
4,1068,986,18,76228,15
5,950,856,16,89875,12
6,1337,1154,18,130555,17
7,869,716,20,110317,9
8,1038,981,16,129073,19
9,1510,1249,20,89486,19
10,265,73,16,28856,4
