Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1117,1305,20,177997,13
2,801,608,14,44197,11
3,377,308,16,56832,4
4,1090,945,18,76228,14
5,970,821,16,89875,11
6,1365,1106,18,130555,16
7,887,686,20,110317,9
8,1060,940,16,129073,18
9,1542,1197,20,89486,18
10,271,70,16,28856,4
