Img,Nro Folhas ref,Nro Folhas
1,12.0,13
2,13.0,8
3,4.0,4
4,20.0,9
5,11.0,10
6,15.0,14
7,9.0,9
8,13.0,18
9,14.0,17
10,4.0,4
