Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1117,1340,20,177997,14
2,801,624,14,44197,12
3,377,316,16,56832,4
4,1090,969,18,76228,15
5,970,842,16,89875,12
6,1365,1135,18,130555,17
7,887,704,20,110317,9
8,1060,965,16,129073,19
9,1542,1228,20,89486,19
10,271,72,16,28856,4
