Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1117,1340,20,177997,13
2,801,624,14,44197,11
3,377,316,16,56832,4
4,1090,969,18,76228,14
5,970,842,16,89875,11
6,1365,1135,18,130555,16
7,887,704,20,110317,9
8,1060,965,16,129073,18
9,1542,1228,20,89486,18
10,271,72,16,28856,4
