MAPE,caule_dx_frac_w,dup_dist_frac_h,grupo_dist_cap_h,idx,imagem,predicoes,stem_frag_w_frac,stem_narrow_w_frac
12.876678876678877,0.008,0.015,0.1,183,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0183.png,"[13, 9, 4, 13, 11, 17, 10, 16, 15, 4]",0.04,0.035
12.876678876678877,0.008,0.015,0.1,231,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0231.png,"[13, 9, 4, 13, 11, 17, 10, 16, 15, 4]",0.04,0.04
12.879786879786877,0.008,0.035,0.085,116,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0116.png,"[13, 9, 4, 13, 12, 15, 9, 18, 15, 4]",0.026,0.03
12.879786879786877,0.008,0.05,0.085,119,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0119.png,"[13, 9, 4, 13, 12, 15, 9, 18, 15, 4]",0.026,0.03
12.879786879786877,0.008,0.035,0.085,128,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0128.png,"[13, 9, 4, 13, 12, 15, 9, 18, 15, 4]",0.032,0.03
12.879786879786877,0.008,0.05,0.085,131,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0131.png,"[13, 9, 4, 13, 12, 15, 9, 18, 15, 4]",0.032,0.03
13.043345543345545,0.008,0.025,0.085,185,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0185.png,"[14, 9, 4, 13, 11, 16, 10, 16, 15, 4]",0.04,0.035
13.043345543345545,0.008,0.025,0.085,233,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0233.png,"[14, 9, 4, 13, 11, 16, 10, 16, 15, 4]",0.04,0.04
13.119103119103121,0.008,0.025,0.1,138,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0138.png,"[13, 9, 4, 13, 12, 16, 10, 16, 15, 4]",0.04,0.03
13.34987234987235,0.008,0.015,0.085,38,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0038.png,"[14, 10, 4, 14, 12, 17, 10, 16, 15, 4]",0.04,0.02
13.34987234987235,0.008,0.025,0.085,41,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0041.png,"[14, 10, 4, 14, 12, 17, 10, 16, 15, 4]",0.04,0.02
13.34987234987235,0.008,0.015,0.085,86,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0086.png,"[14, 10, 4, 14, 12, 17, 10, 16, 15, 4]",0.04,0.025
13.38833388833389,0.008,0.025,0.1,78,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0078.png,"[13, 10, 4, 14, 12, 16, 10, 18, 15, 4]",0.032,0.025
13.573870573870575,0.008,0.035,0.1,153,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0153.png,"[12, 10, 4, 14, 11, 15, 11, 19, 16, 4]",0.018,0.035
13.573870573870575,0.008,0.05,0.1,156,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0156.png,"[12, 10, 4, 14, 11, 15, 11, 19, 16, 4]",0.018,0.035
13.573870573870575,0.008,0.035,0.1,201,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0201.png,"[12, 10, 4, 14, 11, 15, 11, 19, 16, 4]",0.018,0.04
13.573870573870575,0.008,0.05,0.1,204,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0204.png,"[12, 10, 4, 14, 11, 15, 11, 19, 16, 4]",0.018,0.04
13.710012210012207,0.008,0.015,0.085,182,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0182.png,"[14, 9, 4, 13, 11, 17, 10, 16, 15, 4]",0.04,0.035
13.710012210012207,0.008,0.015,0.085,230,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0230.png,"[14, 9, 4, 13, 11, 17, 10, 16, 15, 4]",0.04,0.04
13.74847374847375,0.008,0.025,0.1,162,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0162.png,"[13, 9, 4, 13, 11, 16, 10, 18, 15, 4]",0.026,0.035
13.74847374847375,0.008,0.025,0.1,174,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0174.png,"[13, 9, 4, 13, 11, 16, 10, 18, 15, 4]",0.032,0.035
13.74847374847375,0.008,0.025,0.1,210,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0210.png,"[13, 9, 4, 13, 11, 16, 10, 18, 15, 4]",0.026,0.04
13.74847374847375,0.008,0.025,0.1,222,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0222.png,"[13, 9, 4, 13, 11, 16, 10, 18, 15, 4]",0.032,0.04
13.785769785769785,0.008,0.015,0.1,135,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0135.png,"[13, 9, 4, 13, 12, 17, 10, 16, 15, 4]",0.04,0.03
13.928016428016427,0.008,0.035,0.1,9,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0009.png,"[12, 11, 4, 15, 12, 15, 11, 19, 17, 4]",0.018,0.02
13.928016428016427,0.008,0.05,0.1,12,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0012.png,"[12, 11, 4, 15, 12, 15, 11, 19, 17, 4]",0.018,0.02
13.928016428016427,0.008,0.035,0.1,57,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0057.png,"[12, 11, 4, 15, 12, 15, 11, 19, 17, 4]",0.018,0.025
13.928016428016427,0.008,0.05,0.1,60,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0060.png,"[12, 11, 4, 15, 12, 15, 11, 19, 17, 4]",0.018,0.025
13.952436452436451,0.008,0.025,0.085,137,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0137.png,"[14, 9, 4, 13, 12, 16, 10, 16, 15, 4]",0.04,0.03
14.055000555000555,0.008,0.015,0.1,27,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0027.png,"[13, 10, 4, 14, 12, 17, 10, 18, 15, 4]",0.032,0.02
14.055000555000555,0.008,0.025,0.1,30,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0030.png,"[13, 10, 4, 14, 12, 17, 10, 18, 15, 4]",0.032,0.02
14.055000555000555,0.008,0.015,0.1,75,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0075.png,"[13, 10, 4, 14, 12, 17, 10, 18, 15, 4]",0.032,0.025
14.102619602619605,0.008,0.025,0.1,66,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0066.png,"[13, 10, 4, 14, 12, 16, 10, 18, 16, 4]",0.026,0.025
14.22166722166722,0.008,0.025,0.085,77,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0077.png,"[14, 10, 4, 14, 12, 16, 10, 18, 15, 4]",0.032,0.025
14.407203907203908,0.008,0.035,0.085,152,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0152.png,"[13, 10, 4, 14, 11, 15, 11, 19, 16, 4]",0.018,0.035
14.407203907203908,0.008,0.05,0.085,155,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0155.png,"[13, 10, 4, 14, 11, 15, 11, 19, 16, 4]",0.018,0.035
14.407203907203908,0.008,0.035,0.085,200,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0200.png,"[13, 10, 4, 14, 11, 15, 11, 19, 16, 4]",0.018,0.04
14.407203907203908,0.008,0.05,0.085,203,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0203.png,"[13, 10, 4, 14, 11, 15, 11, 19, 16, 4]",0.018,0.04
14.415140415140415,0.008,0.015,0.1,159,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0159.png,"[13, 9, 4, 13, 11, 17, 10, 18, 15, 4]",0.026,0.035
14.415140415140415,0.008,0.015,0.1,171,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0171.png,"[13, 9, 4, 13, 11, 17, 10, 18, 15, 4]",0.032,0.035
14.415140415140415,0.008,0.015,0.1,207,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0207.png,"[13, 9, 4, 13, 11, 17, 10, 18, 15, 4]",0.026,0.04
14.415140415140415,0.008,0.015,0.1,219,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0219.png,"[13, 9, 4, 13, 11, 17, 10, 18, 15, 4]",0.032,0.04
14.482961482961482,0.008,0.035,0.1,105,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0105.png,"[12, 10, 4, 14, 12, 15, 11, 19, 16, 4]",0.018,0.03
14.482961482961482,0.008,0.05,0.1,108,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0108.png,"[12, 10, 4, 14, 12, 15, 11, 19, 16, 4]",0.018,0.03
14.58180708180708,0.008,0.025,0.085,161,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0161.png,"[14, 9, 4, 13, 11, 16, 10, 18, 15, 4]",0.026,0.035
14.58180708180708,0.008,0.025,0.085,173,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0173.png,"[14, 9, 4, 13, 11, 16, 10, 18, 15, 4]",0.032,0.035
14.58180708180708,0.008,0.025,0.085,209,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0209.png,"[14, 9, 4, 13, 11, 16, 10, 18, 15, 4]",0.026,0.04
14.58180708180708,0.008,0.025,0.085,221,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0221.png,"[14, 9, 4, 13, 11, 16, 10, 18, 15, 4]",0.032,0.04
14.61910311910312,0.008,0.015,0.085,134,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0134.png,"[14, 9, 4, 13, 12, 17, 10, 16, 15, 4]",0.04,0.03
14.65756465756466,0.008,0.025,0.1,114,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0114.png,"[13, 9, 4, 13, 12, 16, 10, 18, 15, 4]",0.026,0.03
14.65756465756466,0.008,0.025,0.1,126,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0126.png,"[13, 9, 4, 13, 12, 16, 10, 18, 15, 4]",0.032,0.03
14.76134976134976,0.008,0.035,0.085,8,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0008.png,"[13, 11, 4, 15, 12, 15, 11, 19, 17, 4]",0.018,0.02
14.76134976134976,0.008,0.05,0.085,11,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0011.png,"[13, 11, 4, 15, 12, 15, 11, 19, 17, 4]",0.018,0.02
14.76134976134976,0.008,0.035,0.085,56,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0056.png,"[13, 11, 4, 15, 12, 15, 11, 19, 17, 4]",0.018,0.025
