Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1127,1340,20,177997,13
2,809,624,14,44197,11
3,380,316,16,56832,4
4,1100,969,18,76228,14
5,978,842,16,89875,11
6,1377,1135,18,130555,16
7,895,704,20,110317,9
8,1069,965,16,129073,18
9,1555,1228,20,89486,18
10,273,72,16,28856,4
