Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1117,1419,20,177997,12
2,801,661,14,44197,11
3,377,335,16,56832,4
4,1090,1027,18,76228,13
5,970,892,16,89875,11
6,1365,1202,18,130555,15
7,887,746,20,110317,9
8,1060,1022,16,129073,17
9,1542,1301,20,89486,17
10,271,76,16,28856,4
