Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1117,1419,20,177997,14
2,801,661,14,44197,12
3,377,335,16,56832,4
4,1090,1027,18,76228,15
5,970,892,16,89875,12
6,1365,1202,18,130555,17
7,887,746,20,110317,9
8,1060,1022,16,129073,19
9,1542,1301,20,89486,19
10,271,76,16,28856,4
