Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1127,1362,20,177997,13
2,809,635,14,44197,11
3,380,322,16,56832,4
4,1100,986,18,76228,14
5,978,856,16,89875,11
6,1377,1154,18,130555,16
7,895,716,20,110317,9
8,1069,981,16,129073,18
9,1555,1249,20,89486,18
10,273,73,16,28856,4
