Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1127,1419,20,177997,12
2,809,661,14,44197,11
3,380,335,16,56832,4
4,1100,1027,18,76228,13
5,978,892,16,89875,11
6,1377,1202,18,130555,15
7,895,746,20,110317,9
8,1069,1022,16,129073,17
9,1555,1301,20,89486,17
10,273,76,16,28856,4
