Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1127,1362,20,177997,14
2,809,635,14,44197,12
3,380,322,16,56832,4
4,1100,986,18,76228,15
5,978,856,16,89875,12
6,1377,1154,18,130555,17
7,895,716,20,110317,9
8,1069,981,16,129073,19
9,1555,1249,20,89486,19
10,273,73,16,28856,4
