Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1094,1419,20,177997,13
2,785,661,14,44197,11
3,369,335,16,56832,4
4,1068,1027,18,76228,14
5,950,892,16,89875,11
6,1337,1202,18,130555,16
7,869,746,20,110317,9
8,1038,1022,16,129073,18
9,1510,1301,20,89486,18
10,265,76,16,28856,4
