Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1107,1362,20,177997,13
2,794,635,14,44197,11
3,373,322,16,56832,4
4,1081,986,18,76228,14
5,961,856,16,89875,11
6,1353,1154,18,130555,16
7,879,716,20,110317,9
8,1050,981,16,129073,18
9,1528,1249,20,89486,18
10,268,73,16,28856,4
