Img,Nro Folhas ref,Nro Folhas
1,12.0,13
2,13.0,11
3,4.0,4
4,20.0,13
5,11.0,11
6,15.0,19
7,9.0,11
8,13.0,16
9,14.0,15
10,4.0,4
