Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1127,1305,20,177997,14
2,809,608,14,44197,12
3,380,308,16,56832,4
4,1100,945,18,76228,15
5,978,821,16,89875,12
6,1377,1106,18,130555,17
7,895,686,20,110317,9
8,1069,940,16,129073,19
9,1555,1197,20,89486,19
10,273,70,16,28856,4
