Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1127,1340,20,177997,14
2,809,624,14,44197,12
3,380,316,16,56832,4
4,1100,969,18,76228,15
5,978,842,16,89875,12
6,1377,1135,18,130555,17
7,895,704,20,110317,9
8,1069,965,16,129073,19
9,1555,1228,20,89486,19
10,273,72,16,28856,4
