Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1117,1362,20,177997,13
2,801,635,14,44197,11
3,377,322,16,56832,4
4,1090,986,18,76228,14
5,970,856,16,89875,11
6,1365,1154,18,130555,16
7,887,716,20,110317,9
8,1060,981,16,129073,18
9,1542,1249,20,89486,18
10,271,73,16,28856,4
