Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
1,1094,1340,20,177997,13
2,785,624,14,44197,11
3,369,316,16,56832,4
4,1068,969,18,76228,14
5,950,842,16,89875,11
6,1337,1135,18,130555,16
7,869,704,20,110317,9
8,1038,965,16,129073,18
9,1510,1228,20,89486,18
10,265,72,16,28856,4
